"mw","district","county","seats","pool","voters","valid","valid.p","invalid","invalid.p"
"第一選舉區","北投區、士林區","臺北市","13","435215","311555","305709","98.12","5846","1.88"
"第二選舉區","內湖區、南港區","臺北市","9","315213","224085","218891","97.68","5194","2.32"
"第三選舉區","松山區、信義區","臺北市","10","348933","246412","240672","97.67","5740","2.33"
"第四選舉區","中山區、大同區","臺北市","8","289729","203657","197672","97.06","5985","2.94"
"第五選舉區","中正區、萬華區","臺北市","8","284055","199639","194619","97.49","5020","2.51"
"第六選舉區","大安區、文山區","臺北市","13","456545","316298","308173","97.43","8125","2.57"
"第七選舉區","平地原住民","臺北市","1","6491","3793","3691","97.31","102","2.69"
"第八選舉區","山地原住民","臺北市","1","4007","2615","2553","97.63","62","2.37"
"第一選舉區","石門區、三芝區、淡水區、八里區","新北市","4","183603","111049","109094","98.24","1955","1.76"
"第二選舉區","林口區、五股區、泰山區、新莊區","新北市","10","507042","311154","305321","98.13","5833","1.87"
"第三選舉區","蘆洲區、三重區","新北市","9","465367","297195","291434","98.06","5761","1.94"
"第四選舉區","板橋區","新北市","9","437664","279620","273843","97.93","5777","2.07"
"第五選舉區","中和區","新北市","6","338184","210906","205618","97.49","5288","2.51"
"第六選舉區","永和區","新北市","4","181218","109174","106875","97.89","2299","2.11"
"第七選舉區","樹林區、鶯歌區、土城區、三峽區","新北市","10","472751","290538","285028","98.10","5510","1.90"
"第八選舉區","新店區、深坑區、石碇區、坪林區、烏來區","新北市","5","277846","165273","161790","97.89","3483","2.11"
"第九選舉區","平溪區、瑞芳區、雙溪區、貢寮區","新北市","1","57149","39226","38280","97.59","946","2.41"
"第十選舉區","金山區、萬里區、汐止區","新北市","4","191425","110719","108282","97.80","2437","2.20"
"第十一選舉區","平地原住民","新北市","3","25094","12440","12158","97.73","282","2.27"
"第十二選舉區","山地原住民","新北市","1","10217","5496","5305","96.52","191","3.48"
"第一選舉區","桃園區","桃園市","11","308376","182534","179921","98.57","2613","1.43"
"第二選舉區","龜山區","桃園市","4","104907","62500","61228","97.96","1272","2.04"
"第三選舉區","八德區","桃園市","5","136107","87424","85433","97.72","1991","2.28"
"第四選舉區","蘆竹區","桃園市","4","107240","65402","64165","98.11","1237","1.89"
"第五選舉區","大園區","桃園市","2","61944","41846","41053","98.10","793","1.90"
"第六選舉區","大溪區、復興區","桃園市","3","69244","45274","44448","98.18","826","1.82"
"第七選舉區","中壢區","桃園市","10","286526","182693","179550","98.28","3143","1.72"
"第八選舉區","平鎮區","桃園市","6","157287","100791","99038","98.26","1753","1.74"
"第九選舉區","楊梅區","桃園市","4","116114","73259","71566","97.69","1693","2.31"
"第十選舉區","龍潭區","桃園市","3","87298","54883","53697","97.84","1186","2.16"
"第十一選舉區","新屋區","桃園市","1","37708","27798","27044","97.29","754","2.71"
"第十二選舉區","觀音區","桃園市","2","47545","33827","33019","97.61","808","2.39"
"第十三選舉區","平地原住民","桃園市","3","23725","12421","12175","98.02","246","1.98"
"第十四選舉區","山地原住民","桃園市","2","18291","10708","10413","97.25","295","2.75"
"第一選舉區","大甲區、大安區、外埔區","臺中市","3","100162","76834","74848","97.42","1986","2.58"
"第二選舉區","清水區、梧棲區、沙鹿區","臺中市","5","174045","132808","130098","97.96","2710","2.04"
"第三選舉區","龍井區、大肚區、烏日區","臺中市","5","154737","117079","114493","97.79","2586","2.21"
"第四選舉區","后里區、豐原區","臺中市","5","168326","123469","121200","98.16","2269","1.84"
"第五選舉區","神岡區、大雅區、潭子區","臺中市","6","197711","144180","140757","97.63","3423","2.37"
"第六選舉區","西屯區","臺中市","5","161351","111496","108692","97.49","2804","2.51"
"第七選舉區","南屯區","臺中市","4","117059","83270","81292","97.62","1978","2.38"
"第八選舉區","北屯區","臺中市","6","196736","137315","133981","97.57","3334","2.43"
"第九選舉區","北區","臺中市","3","116234","79373","77023","97.04","2350","2.96"
"第十選舉區","中區、西區","臺中市","3","103211","71704","70054","97.70","1650","2.30"
"第十一選舉區","東區、南區","臺中市","4","150688","107281","104601","97.50","2680","2.50"
"第十二選舉區","太平區","臺中市","4","138729","97020","95077","98.00","1943","2.00"
"第十三選舉區","大里區、霧峰區","臺中市","6","205794","146859","143746","97.88","3113","2.12"
"第十四選舉區","東勢區、石岡區、新社區、和平區","臺中市","2","79448","59510","57554","96.71","1956","3.29"
"第十五選舉區","平地原住民","臺中市","1","7986","4643","4507","97.07","136","2.93"
"第十六選舉區","山地原住民","臺中市","1","11393","7322","7056","96.37","266","3.63"
"第一選舉區","後壁區、白河區、東山區","臺南市","2","64297","43601","42657","97.83","944","2.17"
"第二選舉區","鹽水區、新營區、柳營區","臺南市","4","101469","67948","66662","98.11","1286","1.89"
"第三選舉區","北門區、學甲區、將軍區","臺南市","2","50135","34346","33686","98.08","660","1.92"
"第四選舉區","下營區、六甲區、麻豆區、官田區","臺南市","3","93856","66177","65028","98.26","1149","1.74"
"第五選舉區","七股區、佳里區、西港區","臺南市","3","87997","62196","61171","98.35","1025","1.65"
"第六選舉區","善化區、安定區","臺南市","2","60215","42581","41332","97.07","1249","2.93"
"第七選舉區","大內區、山上區、新化區","臺南市","2","50310","35135","34263","97.52","872","2.48"
"第八選舉區","楠西區、南化區、玉井區、左鎮區","臺南市","1","32877","22672","22096","97.46","576","2.54"
"第九選舉區","新市區、永康區","臺南市","8","204344","129766","127448","98.21","2318","1.79"
"第十選舉區","安南區","臺南市","5","145986","99703","98135","98.43","1568","1.57"
